architecture id: 13120
model parameters: 74457960
epoch, train_acc,train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 6.364, 19.051, 4.639, 14.100, 35.320, 3.963
1.000, 19.358, 43.900, 3.605, 24.150, 50.350, 3.338
2.000, 27.417, 54.438, 3.142, 27.820, 54.690, 3.126
3.000, 33.328, 61.335, 2.823, 33.230, 60.170, 2.860
4.000, 38.262, 66.176, 2.575, 36.230, 63.420, 2.709
5.000, 42.533, 70.218, 2.365, 37.860, 65.570, 2.609
6.000, 45.887, 73.425, 2.191, 39.610, 67.470, 2.524
7.000, 49.368, 76.465, 2.031, 41.590, 68.500, 2.449
8.000, 52.611, 78.980, 1.879, 42.370, 69.280, 2.448
9.000, 55.579, 81.290, 1.743, 42.840, 69.670, 2.418
10.000, 58.336, 83.455, 1.617, 44.080, 70.420, 2.367
11.000, 61.370, 85.602, 1.485, 44.550, 70.660, 2.371
12.000, 63.962, 87.190, 1.381, 44.510, 71.380, 2.345
13.000, 66.818, 88.823, 1.267, 46.010, 71.870, 2.320
14.000, 69.032, 90.323, 1.169, 45.720, 71.680, 2.358
15.000, 71.787, 91.752, 1.067, 45.760, 71.790, 2.372
16.000, 74.121, 92.937, 0.977, 45.990, 71.700, 2.390
17.000, 76.114, 94.021, 0.894, 46.000, 71.820, 2.395
18.000, 78.133, 94.766, 0.823, 46.020, 71.500, 2.444
19.000, 80.220, 95.743, 0.744, 46.830, 72.160, 2.396
20.000, 82.012, 96.384, 0.679, 46.910, 72.130, 2.449
21.000, 83.619, 96.894, 0.619, 47.280, 72.250, 2.438
22.000, 85.024, 97.374, 0.570, 47.410, 72.630, 2.448
23.000, 86.411, 97.785, 0.520, 46.550, 72.190, 2.482
24.000, 87.669, 98.116, 0.478, 47.380, 72.540, 2.457
25.000, 88.830, 98.458, 0.436, 47.270, 71.890, 2.527
26.000, 89.743, 98.688, 0.404, 47.550, 72.480, 2.499
27.000, 90.641, 98.878, 0.369, 47.420, 72.660, 2.506
