architecture id: 14119
model parameters: 75934056
epoch, train_acc, train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 7.431, 21.510, 4.534, 14.150, 36.460, 3.927
1.000, 19.635, 44.504, 3.585, 22.260, 48.270, 3.423
2.000, 27.273, 54.492, 3.141, 27.840, 54.750, 3.126
3.000, 33.124, 61.169, 2.828, 33.380, 61.210, 2.839
4.000, 38.393, 66.511, 2.564, 35.000, 62.670, 2.763
5.000, 42.644, 70.552, 2.356, 38.470, 65.740, 2.608
6.000, 46.356, 73.899, 2.172, 41.290, 67.770, 2.468
7.000, 50.108, 76.929, 1.997, 40.820, 68.280, 2.477
8.000, 53.477, 79.764, 1.842, 42.340, 69.480, 2.450
9.000, 56.973, 82.207, 1.691, 43.800, 70.990, 2.358
10.000, 59.999, 84.534, 1.550, 44.100, 70.810, 2.356
11.000, 63.077, 86.490, 1.419, 45.600, 72.090, 2.305
12.000, 65.815, 88.373, 1.302, 45.750, 72.600, 2.328
13.000, 68.578, 90.058, 1.193, 46.370, 72.930, 2.308
14.000, 71.409, 91.604, 1.079, 46.150, 72.510, 2.311
15.000, 73.919, 92.818, 0.980, 47.810, 73.720, 2.284
16.000, 76.202, 93.971, 0.893, 47.140, 73.140, 2.331
17.000, 78.630, 94.979, 0.802, 47.590, 72.820, 2.352
18.000, 80.393, 95.751, 0.734, 47.570, 73.740, 2.354
19.000, 82.870, 96.558, 0.652, 48.070, 73.780, 2.334
20.000, 84.334, 97.133, 0.594, 48.350, 73.790, 2.374
21.000, 85.840, 97.707, 0.537, 48.170, 73.720, 2.366
22.000, 87.443, 98.038, 0.485, 48.450, 73.480, 2.410
23.000, 88.822, 98.431, 0.436, 48.010, 73.700, 2.401
24.000, 89.788, 98.713, 0.398, 48.110, 73.490, 2.453
25.000, 90.847, 98.863, 0.361, 49.530, 73.890, 2.427
26.000, 91.801, 99.096, 0.329, 49.160, 74.310, 2.429
27.000, 92.580, 99.206, 0.301, 48.720, 74.260, 2.466
28.000, 93.194, 99.385, 0.278, 49.350, 74.260, 2.466
29.000, 93.745, 99.404, 0.258, 49.580, 74.310, 2.450
30.000, 94.427, 99.517, 0.236, 49.450, 74.210, 2.462
31.000, 94.893, 99.582, 0.218, 49.500, 73.990, 2.483
32.000, 95.274, 99.655, 0.201, 49.340, 74.180, 2.502
33.000, 95.840, 99.696, 0.185, 49.620, 74.480, 2.496
34.000, 96.162, 99.764, 0.171, 50.050, 74.090, 2.497
35.000, 96.345, 99.765, 0.163, 50.020, 74.980, 2.500
36.000, 96.602, 99.786, 0.155, 50.110, 74.630, 2.511
37.000, 96.960, 99.822, 0.142, 50.470, 74.530, 2.498
38.000, 97.100, 99.856, 0.134, 50.360, 74.640, 2.504
39.000, 97.360, 99.864, 0.127, 50.330, 74.540, 2.513
40.000, 97.592, 99.900, 0.116, 50.600, 74.830, 2.538
41.000, 97.760, 99.897, 0.110, 50.450, 74.980, 2.520
42.000, 97.911, 99.901, 0.105, 50.960, 74.930, 2.521
43.000, 98.031, 99.905, 0.100, 50.650, 74.750, 2.532
44.000, 98.204, 99.926, 0.093, 50.610, 74.770, 2.537
45.000, 98.274, 99.929, 0.091, 50.720, 75.230, 2.527
46.000, 98.441, 99.940, 0.084, 51.060, 75.060, 2.550
47.000, 98.428, 99.960, 0.082, 51.130, 74.960, 2.543
48.000, 98.624, 99.947, 0.078, 51.040, 75.130, 2.534
49.000, 98.722, 99.955, 0.073, 50.850, 75.130, 2.550
50.000, 98.709, 99.961, 0.071, 51.580, 75.260, 2.533
51.000, 98.783, 99.963, 0.068, 50.930, 75.430, 2.548
52.000, 98.856, 99.964, 0.066, 50.730, 75.240, 2.536
53.000, 99.022, 99.972, 0.062, 51.020, 75.440, 2.549
54.000, 99.030, 99.976, 0.060, 51.550, 75.510, 2.531
55.000, 99.054, 99.982, 0.056, 50.820, 75.270, 2.544
56.000, 99.058, 99.981, 0.056, 51.260, 75.120, 2.544
57.000, 99.173, 99.974, 0.052, 51.730, 75.090, 2.565
58.000, 99.143, 99.977, 0.053, 51.420, 75.870, 2.528
59.000, 99.205, 99.985, 0.050, 51.570, 75.450, 2.554
60.000, 99.206, 99.977, 0.049, 51.670, 75.370, 2.550
61.000, 99.288, 99.988, 0.047, 51.860, 75.530, 2.552
62.000, 99.290, 99.987, 0.046, 51.530, 75.180, 2.558
63.000, 99.328, 99.988, 0.045, 51.360, 75.480, 2.551
64.000, 99.353, 99.986, 0.044, 52.390, 75.900, 2.544
65.000, 99.401, 99.986, 0.042, 52.080, 75.510, 2.541
66.000, 99.450, 99.991, 0.041, 51.900, 75.510, 2.554
67.000, 99.443, 99.992, 0.040, 52.050, 75.710, 2.561
68.000, 99.443, 99.991, 0.040, 51.790, 75.540, 2.555
69.000, 99.489, 99.988, 0.039, 52.180, 76.100, 2.551
70.000, 99.470, 99.990, 0.037, 52.000, 75.370, 2.553
71.000, 99.509, 99.992, 0.036, 51.690, 75.640, 2.561
72.000, 99.506, 99.991, 0.037, 51.560, 75.370, 2.565
73.000, 99.523, 99.994, 0.036, 52.330, 75.550, 2.539
74.000, 99.563, 99.990, 0.035, 52.110, 75.800, 2.572
75.000, 99.517, 99.994, 0.035, 52.060, 75.820, 2.558
76.000, 99.555, 99.996, 0.034, 52.060, 75.500, 2.569
77.000, 99.599, 99.989, 0.033, 52.300, 75.870, 2.535
78.000, 99.577, 99.995, 0.033, 52.010, 75.770, 2.567
79.000, 99.603, 99.996, 0.033, 52.180, 75.650, 2.563
80.000, 99.617, 99.993, 0.032, 51.990, 75.910, 2.558
81.000, 99.592, 99.996, 0.032, 52.260, 76.020, 2.553
82.000, 99.644, 99.993, 0.031, 52.180, 75.960, 2.550
83.000, 99.607, 99.991, 0.032, 52.300, 75.840, 2.551
84.000, 99.593, 99.997, 0.031, 52.170, 75.430, 2.566
85.000, 99.611, 99.994, 0.031, 52.480, 76.120, 2.542
86.000, 99.609, 99.996, 0.031, 52.340, 75.780, 2.561
87.000, 99.641, 99.995, 0.031, 51.790, 75.720, 2.570
88.000, 99.645, 99.993, 0.030, 52.400, 75.680, 2.577
89.000, 99.632, 99.993, 0.030, 52.280, 76.180, 2.558
90.000, 99.643, 99.990, 0.030, 51.840, 75.720, 2.568
91.000, 99.656, 99.992, 0.030, 51.820, 75.960, 2.568
92.000, 99.652, 99.996, 0.029, 51.790, 76.170, 2.550
93.000, 99.656, 99.997, 0.030, 52.480, 75.770, 2.563
94.000, 99.664, 99.997, 0.030, 52.090, 75.990, 2.547
95.000, 99.652, 99.998, 0.030, 52.490, 75.400, 2.562
96.000, 99.670, 99.995, 0.029, 52.280, 75.850, 2.556
97.000, 99.658, 99.992, 0.030, 52.370, 75.730, 2.555
98.000, 99.671, 99.999, 0.029, 52.440, 75.820, 2.535
99.000, 99.641, 99.991, 0.030, 52.580, 75.780, 2.565
test top1: 52.050, test tpo5: 75.9
firing rate of layers: 0.116, 0.262, 0.185, 0.116, 0.185, 0.082, 0.080, 0.136, 0.153, 0.080, 0.153, 0.065, 0.158, 0.071, 0.112, 0.140
Elapsed time: 10.0hour19.0minute42.5second
