architecture id: 8833
model parameters: 20131812
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 25.928, 1.986, 40.004, 1.586
1.000, 47.480, 1.420, 52.492, 1.307
2.000, 56.400, 1.193, 60.140, 1.110
3.000, 62.812, 1.034, 63.140, 1.052
4.000, 67.208, 0.918, 63.128, 1.076
5.000, 70.088, 0.833, 68.148, 0.918
6.000, 72.712, 0.768, 69.012, 0.892
7.000, 75.096, 0.705, 72.184, 0.792
8.000, 76.780, 0.653, 73.536, 0.763
9.000, 79.036, 0.600, 73.328, 0.786
10.000, 80.544, 0.556, 76.504, 0.681
11.000, 82.156, 0.511, 77.216, 0.673
12.000, 83.512, 0.469, 78.852, 0.620
13.000, 84.264, 0.447, 78.724, 0.624
14.000, 85.576, 0.410, 80.720, 0.565
15.000, 86.632, 0.382, 80.992, 0.563
16.000, 87.492, 0.355, 80.656, 0.574
17.000, 88.020, 0.342, 78.836, 0.646
18.000, 88.996, 0.314, 78.664, 0.645
19.000, 89.640, 0.292, 82.624, 0.527
20.000, 90.764, 0.264, 82.920, 0.519
21.000, 91.284, 0.252, 81.048, 0.597
22.000, 91.856, 0.231, 82.668, 0.536
23.000, 92.860, 0.209, 79.760, 0.645
24.000, 93.132, 0.200, 82.036, 0.577
25.000, 93.424, 0.193, 81.812, 0.576
26.000, 93.820, 0.177, 84.380, 0.506
27.000, 94.376, 0.168, 83.292, 0.552
28.000, 94.932, 0.149, 84.576, 0.505
29.000, 95.152, 0.139, 83.040, 0.596
30.000, 95.464, 0.131, 84.152, 0.530
31.000, 96.064, 0.115, 84.796, 0.523
32.000, 95.816, 0.120, 84.408, 0.540
33.000, 96.604, 0.102, 84.712, 0.536
34.000, 96.844, 0.095, 84.804, 0.539
35.000, 97.240, 0.085, 85.128, 0.534
36.000, 97.108, 0.085, 85.080, 0.523
37.000, 97.328, 0.079, 84.660, 0.553
38.000, 97.620, 0.073, 84.172, 0.589
39.000, 98.064, 0.062, 85.468, 0.540
40.000, 98.116, 0.059, 85.220, 0.554
41.000, 98.112, 0.056, 85.720, 0.537
42.000, 98.140, 0.055, 85.808, 0.528
43.000, 98.576, 0.046, 85.592, 0.563
44.000, 98.616, 0.043, 86.216, 0.530
45.000, 98.912, 0.036, 85.824, 0.554
46.000, 98.884, 0.036, 85.012, 0.609
47.000, 99.036, 0.032, 86.192, 0.548
48.000, 99.016, 0.032, 86.468, 0.534
49.000, 99.244, 0.027, 86.336, 0.546
50.000, 99.128, 0.029, 86.304, 0.567
51.000, 99.296, 0.024, 86.192, 0.566
52.000, 99.428, 0.021, 86.428, 0.551
53.000, 99.416, 0.022, 86.116, 0.587
54.000, 99.352, 0.023, 86.544, 0.548
55.000, 99.564, 0.017, 86.372, 0.567
56.000, 99.504, 0.018, 86.684, 0.539
57.000, 99.432, 0.019, 86.672, 0.549
58.000, 99.564, 0.016, 86.696, 0.556
59.000, 99.700, 0.013, 87.076, 0.559
60.000, 99.652, 0.014, 86.960, 0.546
61.000, 99.668, 0.014, 86.764, 0.559
62.000, 99.720, 0.012, 87.036, 0.554
63.000, 99.740, 0.011, 87.192, 0.552
64.000, 99.760, 0.010, 87.064, 0.560
65.000, 99.796, 0.010, 86.980, 0.562
66.000, 99.776, 0.009, 87.180, 0.565
67.000, 99.808, 0.009, 87.376, 0.558
68.000, 99.816, 0.009, 87.144, 0.555
69.000, 99.860, 0.007, 87.200, 0.554
70.000, 99.820, 0.008, 87.244, 0.558
71.000, 99.852, 0.007, 87.272, 0.560
72.000, 99.848, 0.007, 87.220, 0.562
73.000, 99.892, 0.007, 87.372, 0.562
74.000, 99.852, 0.007, 87.264, 0.564
75.000, 99.912, 0.006, 87.464, 0.555
76.000, 99.908, 0.005, 87.496, 0.559
77.000, 99.900, 0.006, 87.292, 0.571
78.000, 99.920, 0.005, 87.324, 0.561
79.000, 99.900, 0.005, 87.480, 0.562
80.000, 99.920, 0.005, 87.412, 0.564
81.000, 99.916, 0.005, 87.484, 0.560
82.000, 99.932, 0.005, 87.240, 0.573
83.000, 99.908, 0.005, 87.372, 0.565
84.000, 99.900, 0.005, 87.444, 0.562
85.000, 99.928, 0.005, 87.268, 0.573
86.000, 99.916, 0.005, 87.392, 0.564
87.000, 99.932, 0.005, 87.352, 0.564
88.000, 99.940, 0.005, 87.376, 0.569
89.000, 99.920, 0.005, 87.236, 0.577
90.000, 99.940, 0.005, 87.376, 0.563
91.000, 99.932, 0.005, 87.292, 0.571
92.000, 99.948, 0.005, 87.248, 0.565
93.000, 99.916, 0.004, 87.540, 0.557
94.000, 99.928, 0.005, 87.572, 0.558
95.000, 99.892, 0.005, 87.476, 0.566
96.000, 99.908, 0.005, 87.604, 0.566
97.000, 99.952, 0.004, 87.392, 0.570
98.000, 99.948, 0.004, 87.444, 0.565
99.000, 99.932, 0.004, 87.488, 0.557
test accuracy: 87.830
firing rate of layers: 0.094, -1.000, -1.000, 0.094, 0.019, 0.252, 0.079, -1.000, -1.000, 0.079, 0.020, 0.197, 0.074, 0.100, 0.215, 0.103
Elapsed time: 2.0hour17.0minute55.3second
