architecture id: 11063
model parameters: 21607908
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 25.756, 1.956, 38.752, 1.671
1.000, 47.844, 1.411, 42.452, 1.767
2.000, 55.712, 1.214, 53.196, 1.304
3.000, 61.960, 1.061, 60.484, 1.082
4.000, 65.992, 0.950, 66.184, 0.951
5.000, 69.692, 0.844, 68.280, 0.892
6.000, 72.200, 0.777, 70.492, 0.835
7.000, 75.060, 0.708, 71.372, 0.823
8.000, 76.808, 0.652, 74.560, 0.725
9.000, 78.712, 0.601, 74.900, 0.716
10.000, 80.524, 0.554, 73.236, 0.785
11.000, 81.588, 0.524, 76.772, 0.676
12.000, 83.496, 0.472, 75.776, 0.709
13.000, 84.612, 0.440, 79.280, 0.604
14.000, 85.324, 0.416, 78.772, 0.624
15.000, 86.248, 0.388, 80.300, 0.578
16.000, 87.308, 0.358, 81.184, 0.561
17.000, 88.140, 0.342, 79.972, 0.599
18.000, 88.988, 0.316, 81.272, 0.559
19.000, 89.936, 0.289, 81.848, 0.558
20.000, 90.496, 0.272, 79.540, 0.664
21.000, 91.400, 0.246, 83.772, 0.492
22.000, 91.976, 0.233, 82.452, 0.538
23.000, 92.440, 0.219, 83.224, 0.539
24.000, 93.368, 0.195, 84.148, 0.495
25.000, 93.412, 0.190, 82.856, 0.556
26.000, 94.040, 0.174, 83.988, 0.513
27.000, 94.292, 0.165, 83.408, 0.545
28.000, 94.824, 0.149, 84.584, 0.501
29.000, 95.420, 0.136, 83.904, 0.546
30.000, 95.668, 0.129, 84.460, 0.516
31.000, 96.028, 0.118, 85.056, 0.513
32.000, 96.536, 0.102, 84.940, 0.502
33.000, 96.616, 0.099, 84.256, 0.546
34.000, 96.916, 0.092, 85.524, 0.510
35.000, 97.372, 0.083, 85.136, 0.516
36.000, 97.472, 0.076, 86.120, 0.503
37.000, 97.800, 0.068, 85.212, 0.543
38.000, 97.756, 0.067, 84.792, 0.565
39.000, 98.104, 0.057, 86.512, 0.509
40.000, 98.084, 0.058, 86.172, 0.520
41.000, 98.584, 0.047, 86.556, 0.507
42.000, 98.616, 0.044, 86.488, 0.527
43.000, 98.572, 0.044, 86.512, 0.508
44.000, 98.836, 0.039, 86.388, 0.518
45.000, 98.744, 0.039, 86.880, 0.506
46.000, 98.992, 0.033, 87.336, 0.504
47.000, 99.112, 0.030, 86.764, 0.519
48.000, 99.204, 0.028, 86.880, 0.510
49.000, 99.268, 0.025, 87.500, 0.497
50.000, 99.404, 0.022, 87.104, 0.527
51.000, 99.476, 0.019, 87.056, 0.520
52.000, 99.600, 0.016, 87.288, 0.528
53.000, 99.552, 0.017, 87.504, 0.509
54.000, 99.656, 0.014, 87.528, 0.525
55.000, 99.600, 0.015, 87.576, 0.529
56.000, 99.672, 0.013, 87.692, 0.506
57.000, 99.720, 0.013, 87.552, 0.520
58.000, 99.756, 0.011, 87.588, 0.521
59.000, 99.736, 0.011, 87.812, 0.516
60.000, 99.720, 0.012, 87.764, 0.508
61.000, 99.816, 0.009, 88.264, 0.504
62.000, 99.820, 0.009, 88.012, 0.520
63.000, 99.840, 0.008, 88.200, 0.508
64.000, 99.888, 0.006, 87.976, 0.523
65.000, 99.884, 0.006, 88.132, 0.517
66.000, 99.904, 0.005, 88.164, 0.512
67.000, 99.884, 0.006, 88.272, 0.518
68.000, 99.864, 0.006, 88.160, 0.521
69.000, 99.912, 0.005, 88.008, 0.515
70.000, 99.916, 0.005, 88.036, 0.525
71.000, 99.928, 0.004, 88.052, 0.516
72.000, 99.936, 0.005, 88.112, 0.522
73.000, 99.924, 0.004, 88.192, 0.521
74.000, 99.912, 0.004, 88.084, 0.524
75.000, 99.928, 0.004, 88.048, 0.521
76.000, 99.936, 0.004, 88.224, 0.527
77.000, 99.968, 0.003, 88.296, 0.520
78.000, 99.924, 0.004, 88.220, 0.524
79.000, 99.968, 0.003, 88.300, 0.520
80.000, 99.944, 0.004, 88.388, 0.520
81.000, 99.964, 0.003, 88.436, 0.519
82.000, 99.948, 0.004, 88.496, 0.518
83.000, 99.968, 0.003, 88.152, 0.527
84.000, 99.984, 0.003, 88.276, 0.530
85.000, 99.960, 0.003, 88.228, 0.524
86.000, 99.956, 0.003, 88.276, 0.524
87.000, 99.968, 0.003, 88.244, 0.523
88.000, 99.988, 0.003, 88.348, 0.528
89.000, 99.960, 0.003, 88.700, 0.515
90.000, 99.992, 0.003, 88.344, 0.520
91.000, 99.984, 0.003, 88.244, 0.527
92.000, 99.952, 0.003, 88.436, 0.525
93.000, 99.980, 0.003, 88.212, 0.533
94.000, 99.952, 0.003, 88.456, 0.518
95.000, 99.968, 0.003, 88.336, 0.529
96.000, 99.976, 0.003, 88.512, 0.524
97.000, 99.976, 0.003, 88.464, 0.517
98.000, 99.956, 0.003, 88.460, 0.523
99.000, 99.972, 0.003, 88.384, 0.525
test accuracy: 88.420
firing rate of layers: 0.079, 0.231, 0.041, 0.231, 0.159, 0.098, 0.069, 0.186, 0.045, 0.186, 0.146, 0.092, 0.066, 0.095, 0.214, 0.125
Elapsed time: 3.0hour3.0minute55.2second
