architecture id: 14718
model parameters: 75934056
epoch, train_acc, train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 7.328, 21.002, 4.551, 12.820, 34.040, 4.030
1.000, 19.506, 44.045, 3.603, 22.380, 47.790, 3.432
2.000, 27.154, 53.941, 3.163, 28.550, 55.610, 3.080
3.000, 32.759, 60.842, 2.846, 32.300, 59.660, 2.890
4.000, 37.879, 65.980, 2.590, 35.030, 63.000, 2.736
5.000, 42.314, 70.200, 2.375, 36.960, 64.430, 2.670
6.000, 46.132, 73.837, 2.176, 40.940, 67.490, 2.503
7.000, 49.750, 76.827, 2.009, 42.470, 68.750, 2.432
8.000, 53.145, 79.466, 1.853, 43.030, 70.150, 2.405
9.000, 56.559, 82.102, 1.699, 44.110, 71.030, 2.345
10.000, 59.548, 84.244, 1.568, 44.380, 70.720, 2.380
11.000, 62.659, 86.426, 1.434, 45.160, 71.030, 2.351
12.000, 65.725, 88.205, 1.312, 46.080, 72.060, 2.335
13.000, 68.431, 89.903, 1.196, 46.080, 72.270, 2.338
14.000, 71.113, 91.506, 1.087, 46.940, 72.250, 2.324
15.000, 73.689, 92.836, 0.986, 46.870, 72.430, 2.353
16.000, 76.273, 94.022, 0.890, 46.760, 72.750, 2.380
17.000, 78.711, 95.063, 0.806, 47.390, 73.130, 2.371
18.000, 80.636, 95.765, 0.731, 47.160, 72.790, 2.388
19.000, 82.481, 96.528, 0.659, 47.350, 72.430, 2.424
20.000, 84.557, 97.113, 0.590, 47.610, 72.990, 2.404
21.000, 85.988, 97.638, 0.537, 48.140, 72.950, 2.423
22.000, 87.360, 98.090, 0.484, 47.960, 73.250, 2.425
23.000, 88.721, 98.411, 0.441, 48.140, 73.320, 2.431
24.000, 89.588, 98.643, 0.405, 48.650, 73.400, 2.454
25.000, 90.795, 98.961, 0.362, 48.490, 73.370, 2.482
26.000, 91.693, 99.106, 0.333, 48.680, 73.440, 2.452
27.000, 92.556, 99.225, 0.304, 48.930, 73.200, 2.481
28.000, 93.298, 99.320, 0.279, 49.360, 73.550, 2.485
29.000, 93.786, 99.448, 0.256, 48.850, 73.610, 2.506
30.000, 94.348, 99.505, 0.236, 49.610, 73.630, 2.504
31.000, 94.848, 99.591, 0.219, 49.440, 73.650, 2.499
32.000, 95.227, 99.671, 0.204, 50.010, 73.820, 2.491
33.000, 95.735, 99.691, 0.186, 49.590, 73.740, 2.520
34.000, 95.989, 99.726, 0.176, 50.040, 73.940, 2.511
35.000, 96.411, 99.783, 0.161, 49.600, 73.720, 2.533
36.000, 96.614, 99.798, 0.152, 49.700, 73.700, 2.552
37.000, 96.914, 99.837, 0.143, 49.970, 73.940, 2.572
38.000, 97.107, 99.847, 0.134, 50.180, 74.100, 2.547
39.000, 97.454, 99.854, 0.123, 50.430, 74.190, 2.546
40.000, 97.509, 99.862, 0.119, 49.920, 73.820, 2.565
41.000, 97.665, 99.893, 0.113, 50.370, 74.180, 2.554
42.000, 97.722, 99.892, 0.109, 50.180, 73.980, 2.575
43.000, 98.020, 99.902, 0.101, 50.270, 74.100, 2.550
44.000, 98.061, 99.930, 0.097, 50.800, 73.920, 2.583
45.000, 98.327, 99.937, 0.090, 50.580, 74.340, 2.563
46.000, 98.424, 99.946, 0.085, 50.010, 74.470, 2.598
47.000, 98.482, 99.939, 0.081, 50.660, 74.350, 2.570
48.000, 98.593, 99.942, 0.077, 50.550, 74.610, 2.571
49.000, 98.691, 99.957, 0.073, 51.260, 74.500, 2.572
50.000, 98.758, 99.959, 0.070, 51.070, 74.830, 2.569
51.000, 98.816, 99.960, 0.068, 51.190, 74.720, 2.574
52.000, 98.839, 99.975, 0.064, 50.830, 74.730, 2.584
53.000, 98.920, 99.966, 0.063, 50.620, 74.620, 2.600
54.000, 98.972, 99.978, 0.061, 51.230, 74.920, 2.557
55.000, 98.977, 99.970, 0.059, 51.430, 74.730, 2.589
56.000, 99.108, 99.976, 0.056, 51.680, 75.240, 2.566
57.000, 99.084, 99.979, 0.055, 50.350, 74.360, 2.607
58.000, 99.215, 99.977, 0.052, 51.580, 75.020, 2.591
59.000, 99.239, 99.986, 0.050, 51.340, 74.910, 2.580
60.000, 99.246, 99.987, 0.049, 51.300, 74.960, 2.595
61.000, 99.284, 99.983, 0.047, 50.840, 75.170, 2.608
62.000, 99.366, 99.985, 0.046, 51.190, 75.360, 2.594
63.000, 99.337, 99.980, 0.045, 51.240, 75.200, 2.578
64.000, 99.310, 99.982, 0.044, 51.290, 74.940, 2.601
65.000, 99.341, 99.988, 0.044, 51.330, 75.320, 2.600
66.000, 99.397, 99.989, 0.042, 51.920, 74.930, 2.580
67.000, 99.427, 99.991, 0.040, 51.860, 75.020, 2.582
68.000, 99.474, 99.992, 0.039, 51.830, 75.260, 2.577
69.000, 99.466, 99.990, 0.039, 51.930, 75.290, 2.574
70.000, 99.498, 99.989, 0.038, 51.410, 75.450, 2.576
71.000, 99.481, 99.991, 0.037, 51.760, 74.780, 2.617
72.000, 99.482, 99.986, 0.037, 51.370, 75.380, 2.600
73.000, 99.493, 99.991, 0.036, 51.850, 75.070, 2.600
74.000, 99.567, 99.992, 0.035, 51.710, 75.410, 2.582
75.000, 99.565, 99.998, 0.035, 51.390, 75.000, 2.611
76.000, 99.581, 99.994, 0.035, 51.590, 75.560, 2.593
77.000, 99.561, 99.992, 0.033, 51.850, 75.330, 2.587
78.000, 99.594, 99.993, 0.033, 51.900, 75.090, 2.595
79.000, 99.599, 99.995, 0.032, 52.280, 75.300, 2.590
80.000, 99.628, 99.992, 0.032, 51.880, 75.250, 2.586
81.000, 99.582, 99.990, 0.033, 52.240, 75.170, 2.582
82.000, 99.597, 99.995, 0.032, 51.910, 75.100, 2.608
83.000, 99.629, 99.992, 0.031, 51.550, 75.260, 2.604
84.000, 99.611, 99.992, 0.031, 51.980, 75.180, 2.597
85.000, 99.634, 99.998, 0.031, 51.980, 74.860, 2.619
86.000, 99.652, 99.996, 0.030, 51.810, 75.090, 2.603
87.000, 99.644, 99.991, 0.031, 51.610, 75.560, 2.588
88.000, 99.627, 99.995, 0.030, 51.850, 75.530, 2.604
89.000, 99.650, 99.999, 0.030, 51.840, 75.290, 2.586
90.000, 99.633, 99.995, 0.030, 52.230, 74.880, 2.588
91.000, 99.649, 99.990, 0.030, 51.870, 75.050, 2.611
