architecture id: 15341
model parameters: 75196008
epoch, train_acc, train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 8.140, 22.998, 4.475, 14.530, 36.300, 3.960
1.000, 20.433, 45.447, 3.545, 21.300, 46.150, 3.488
2.000, 27.855, 55.016, 3.119, 28.460, 55.270, 3.108
3.000, 33.451, 61.551, 2.814, 32.180, 58.420, 2.931
4.000, 38.237, 66.093, 2.579, 34.880, 61.330, 2.803
5.000, 42.556, 70.081, 2.364, 37.850, 64.830, 2.654
6.000, 46.072, 73.683, 2.181, 39.100, 66.740, 2.568
7.000, 49.902, 76.804, 2.008, 40.750, 67.910, 2.519
8.000, 53.169, 79.344, 1.860, 42.430, 68.470, 2.451
9.000, 56.563, 81.884, 1.713, 43.070, 69.690, 2.421
10.000, 59.471, 84.290, 1.574, 43.630, 70.530, 2.413
11.000, 62.480, 86.206, 1.445, 43.750, 70.040, 2.417
12.000, 65.313, 88.041, 1.325, 44.980, 70.670, 2.381
13.000, 68.331, 89.741, 1.207, 44.770, 70.660, 2.409
14.000, 70.948, 91.264, 1.101, 45.710, 72.020, 2.363
15.000, 73.255, 92.611, 1.007, 45.420, 70.980, 2.418
16.000, 75.670, 93.812, 0.911, 45.510, 70.700, 2.465
17.000, 77.918, 94.725, 0.831, 45.680, 71.090, 2.450
18.000, 80.170, 95.631, 0.749, 46.340, 71.600, 2.468
19.000, 82.352, 96.329, 0.672, 46.600, 71.810, 2.466
20.000, 83.941, 97.018, 0.611, 46.600, 72.140, 2.472
21.000, 85.548, 97.475, 0.557, 47.070, 71.920, 2.471
22.000, 86.914, 97.896, 0.502, 46.820, 72.260, 2.479
23.000, 88.376, 98.291, 0.457, 47.300, 72.460, 2.501
24.000, 89.280, 98.515, 0.419, 47.220, 72.530, 2.508
25.000, 90.454, 98.803, 0.382, 47.310, 72.210, 2.512
26.000, 91.338, 98.963, 0.347, 47.400, 72.430, 2.534
27.000, 91.978, 99.102, 0.324, 47.630, 72.200, 2.536
28.000, 92.780, 99.243, 0.297, 48.580, 72.910, 2.531
29.000, 93.403, 99.331, 0.274, 47.980, 72.530, 2.564
30.000, 93.919, 99.430, 0.254, 47.790, 72.190, 2.571
31.000, 94.541, 99.474, 0.233, 47.580, 72.830, 2.603
32.000, 94.983, 99.589, 0.217, 48.200, 72.790, 2.588
33.000, 95.304, 99.606, 0.204, 48.360, 73.270, 2.578
34.000, 95.780, 99.703, 0.187, 47.520, 73.040, 2.598
35.000, 96.162, 99.715, 0.176, 48.200, 72.350, 2.629
36.000, 96.257, 99.741, 0.168, 48.190, 73.200, 2.615
37.000, 96.559, 99.778, 0.157, 49.120, 73.000, 2.594
38.000, 96.879, 99.811, 0.146, 49.090, 73.250, 2.634
39.000, 97.013, 99.833, 0.138, 49.490, 73.020, 2.625
40.000, 97.312, 99.837, 0.130, 48.970, 73.240, 2.622
41.000, 97.490, 99.862, 0.122, 48.750, 73.310, 2.648
42.000, 97.724, 99.890, 0.114, 48.650, 73.020, 2.647
43.000, 97.729, 99.885, 0.112, 48.960, 73.320, 2.631
44.000, 97.937, 99.889, 0.106, 49.490, 73.130, 2.639
45.000, 98.103, 99.910, 0.099, 48.920, 73.360, 2.670
46.000, 98.149, 99.906, 0.095, 49.290, 73.610, 2.628
47.000, 98.326, 99.933, 0.090, 49.160, 73.440, 2.651
48.000, 98.474, 99.936, 0.085, 49.520, 73.030, 2.655
49.000, 98.459, 99.942, 0.083, 49.400, 73.160, 2.677
50.000, 98.550, 99.940, 0.079, 49.140, 73.550, 2.681
51.000, 98.623, 99.956, 0.076, 49.600, 73.480, 2.654
52.000, 98.745, 99.958, 0.072, 49.810, 73.510, 2.681
53.000, 98.813, 99.965, 0.069, 49.820, 73.480, 2.660
54.000, 98.903, 99.956, 0.067, 49.120, 73.420, 2.694
55.000, 98.990, 99.965, 0.063, 50.360, 73.680, 2.663
56.000, 98.939, 99.969, 0.063, 49.440, 73.620, 2.658
57.000, 99.027, 99.966, 0.060, 49.740, 73.440, 2.674
58.000, 99.089, 99.964, 0.058, 49.850, 73.730, 2.668
59.000, 99.102, 99.975, 0.057, 50.260, 73.790, 2.667
60.000, 99.127, 99.978, 0.055, 49.620, 73.830, 2.688
61.000, 99.118, 99.971, 0.055, 50.280, 73.750, 2.684
62.000, 99.221, 99.987, 0.051, 49.570, 73.830, 2.668
63.000, 99.281, 99.983, 0.049, 49.810, 74.350, 2.666
64.000, 99.266, 99.974, 0.049, 49.930, 73.710, 2.688
65.000, 99.289, 99.983, 0.048, 50.040, 73.570, 2.699
66.000, 99.278, 99.982, 0.046, 49.760, 73.700, 2.679
67.000, 99.323, 99.985, 0.046, 50.510, 74.400, 2.655
68.000, 99.327, 99.982, 0.046, 50.290, 74.180, 2.656
69.000, 99.384, 99.985, 0.044, 50.020, 74.200, 2.670
70.000, 99.368, 99.996, 0.043, 50.260, 74.010, 2.672
71.000, 99.435, 99.987, 0.041, 49.850, 74.110, 2.691
72.000, 99.474, 99.986, 0.041, 49.690, 74.240, 2.670
73.000, 99.406, 99.991, 0.041, 50.420, 74.010, 2.668
74.000, 99.439, 99.983, 0.040, 50.300, 73.700, 2.711
75.000, 99.447, 99.984, 0.040, 50.140, 74.180, 2.683
76.000, 99.412, 99.984, 0.040, 50.270, 74.070, 2.692
77.000, 99.490, 99.987, 0.039, 50.070, 73.940, 2.686
78.000, 99.511, 99.984, 0.038, 49.810, 73.910, 2.689
79.000, 99.480, 99.995, 0.038, 50.340, 73.960, 2.694
80.000, 99.516, 99.993, 0.037, 50.260, 74.510, 2.675
81.000, 99.514, 99.984, 0.037, 50.130, 74.190, 2.666
82.000, 99.585, 99.992, 0.035, 50.570, 74.360, 2.684
83.000, 99.524, 99.994, 0.036, 50.100, 74.030, 2.666
84.000, 99.566, 99.990, 0.035, 50.690, 74.200, 2.667
85.000, 99.579, 99.994, 0.035, 50.430, 74.020, 2.683
86.000, 99.535, 99.993, 0.035, 50.420, 74.040, 2.682
87.000, 99.588, 99.994, 0.034, 50.540, 74.060, 2.696
88.000, 99.556, 99.990, 0.035, 50.250, 74.430, 2.680
89.000, 99.580, 99.994, 0.034, 50.270, 73.900, 2.681
90.000, 99.580, 99.992, 0.035, 50.570, 74.260, 2.683
91.000, 99.570, 99.987, 0.034, 50.640, 74.290, 2.669
92.000, 99.585, 99.992, 0.034, 50.330, 74.160, 2.684
93.000, 99.588, 99.992, 0.034, 50.240, 73.940, 2.682
94.000, 99.586, 99.995, 0.034, 49.990, 74.070, 2.676
95.000, 99.582, 99.989, 0.033, 50.530, 73.980, 2.686
96.000, 99.608, 99.993, 0.033, 50.260, 73.610, 2.712
97.000, 99.589, 99.992, 0.033, 50.790, 74.510, 2.673
98.000, 99.578, 99.996, 0.034, 50.130, 73.600, 2.690
99.000, 99.614, 99.992, 0.033, 50.150, 73.990, 2.705
test top1: 50.600, test tpo5: 74.1
firing rate of layers: -1.000, 0.151, 0.369, 0.151, 0.055, 0.101, -1.000, 0.094, 0.176, 0.094, 0.047, 0.068, 0.151, 0.070, 0.110, 0.139
Elapsed time: 8.0hour54.0minute15.8second
