architecture id: 12586
model parameters: 19393764
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 32.912, 1.806, 39.448, 1.796
1.000, 51.576, 1.325, 54.484, 1.243
2.000, 59.908, 1.108, 59.556, 1.109
3.000, 65.716, 0.961, 66.844, 0.932
4.000, 69.704, 0.851, 68.412, 0.888
5.000, 72.308, 0.780, 70.676, 0.840
6.000, 74.980, 0.712, 71.064, 0.826
7.000, 76.844, 0.654, 75.756, 0.697
8.000, 79.096, 0.595, 75.856, 0.687
9.000, 80.560, 0.554, 76.092, 0.682
10.000, 81.904, 0.512, 77.968, 0.650
11.000, 83.500, 0.475, 78.024, 0.648
12.000, 84.292, 0.440, 76.960, 0.689
13.000, 85.372, 0.414, 80.836, 0.557
14.000, 86.672, 0.383, 81.224, 0.564
15.000, 87.420, 0.359, 80.428, 0.574
16.000, 88.080, 0.338, 82.096, 0.540
17.000, 89.192, 0.318, 82.648, 0.512
18.000, 89.508, 0.297, 82.888, 0.513
19.000, 90.420, 0.271, 82.956, 0.512
20.000, 90.920, 0.259, 81.608, 0.578
21.000, 91.452, 0.248, 82.732, 0.547
22.000, 92.104, 0.226, 83.204, 0.522
23.000, 92.632, 0.209, 83.908, 0.500
24.000, 93.068, 0.200, 84.340, 0.497
25.000, 93.276, 0.192, 84.488, 0.498
26.000, 94.160, 0.172, 83.368, 0.532
27.000, 94.356, 0.165, 83.848, 0.525
28.000, 94.764, 0.150, 83.592, 0.536
29.000, 95.312, 0.137, 85.120, 0.482
30.000, 95.632, 0.129, 85.324, 0.475
31.000, 95.788, 0.123, 83.844, 0.550
32.000, 96.252, 0.114, 84.724, 0.516
33.000, 96.412, 0.107, 84.864, 0.533
34.000, 96.580, 0.101, 84.328, 0.561
35.000, 96.748, 0.096, 85.236, 0.513
36.000, 97.004, 0.086, 85.348, 0.508
37.000, 97.284, 0.082, 85.752, 0.508
38.000, 97.204, 0.083, 84.788, 0.542
39.000, 97.624, 0.071, 85.460, 0.535
40.000, 97.924, 0.063, 86.148, 0.482
41.000, 98.148, 0.059, 86.144, 0.505
42.000, 98.204, 0.054, 86.192, 0.523
43.000, 98.188, 0.055, 86.280, 0.499
44.000, 98.300, 0.052, 85.952, 0.521
45.000, 98.516, 0.045, 86.556, 0.506
46.000, 98.820, 0.041, 86.816, 0.497
47.000, 98.728, 0.040, 86.548, 0.517
48.000, 98.928, 0.036, 86.764, 0.511
49.000, 99.124, 0.031, 86.712, 0.516
50.000, 98.976, 0.032, 86.264, 0.522
51.000, 99.164, 0.030, 86.576, 0.523
52.000, 99.248, 0.026, 87.136, 0.503
53.000, 99.168, 0.026, 87.032, 0.524
54.000, 99.220, 0.026, 86.968, 0.518
55.000, 99.316, 0.024, 86.840, 0.525
56.000, 99.300, 0.024, 87.412, 0.504
57.000, 99.396, 0.021, 87.260, 0.522
58.000, 99.548, 0.019, 87.080, 0.530
59.000, 99.512, 0.018, 87.396, 0.511
60.000, 99.588, 0.017, 87.200, 0.511
61.000, 99.612, 0.015, 87.296, 0.518
62.000, 99.612, 0.014, 87.440, 0.517
63.000, 99.652, 0.014, 87.644, 0.513
64.000, 99.660, 0.013, 87.516, 0.514
65.000, 99.708, 0.012, 87.712, 0.513
66.000, 99.704, 0.012, 87.552, 0.528
67.000, 99.808, 0.011, 88.044, 0.513
68.000, 99.728, 0.011, 87.804, 0.507
69.000, 99.768, 0.010, 87.776, 0.513
70.000, 99.812, 0.009, 87.688, 0.523
71.000, 99.808, 0.009, 87.772, 0.522
72.000, 99.852, 0.008, 87.612, 0.529
73.000, 99.844, 0.009, 87.680, 0.525
74.000, 99.836, 0.008, 87.792, 0.533
75.000, 99.872, 0.007, 87.880, 0.525
76.000, 99.812, 0.008, 87.784, 0.518
77.000, 99.804, 0.008, 87.848, 0.529
78.000, 99.844, 0.008, 87.560, 0.526
79.000, 99.804, 0.008, 87.916, 0.517
80.000, 99.900, 0.006, 87.692, 0.527
81.000, 99.860, 0.007, 87.868, 0.522
82.000, 99.884, 0.006, 87.808, 0.529
83.000, 99.904, 0.006, 87.832, 0.521
84.000, 99.876, 0.006, 87.848, 0.520
85.000, 99.896, 0.006, 88.072, 0.517
86.000, 99.864, 0.007, 87.916, 0.520
87.000, 99.900, 0.006, 87.960, 0.522
88.000, 99.884, 0.006, 88.032, 0.517
89.000, 99.884, 0.006, 87.820, 0.527
90.000, 99.908, 0.006, 87.952, 0.517
91.000, 99.864, 0.006, 88.148, 0.513
92.000, 99.924, 0.005, 87.948, 0.520
93.000, 99.924, 0.005, 87.884, 0.529
94.000, 99.872, 0.006, 87.744, 0.536
95.000, 99.928, 0.005, 87.920, 0.522
96.000, 99.892, 0.006, 88.072, 0.524
97.000, 99.916, 0.006, 87.844, 0.529
98.000, 99.932, 0.005, 87.868, 0.519
99.000, 99.912, 0.006, 87.956, 0.527
test accuracy: 88.170
firing rate of layers: -1.000, 0.238, -1.000, 0.093, -1.000, 0.037, -1.000, 0.203, -1.000, 0.087, -1.000, 0.026, 0.091, 0.082, 0.161, 0.110
Elapsed time: 2.0hour1.0minute3.7second
