architecture id: 5307
model parameters: 20131812
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 27.248, 1.914, 38.748, 1.647
1.000, 48.484, 1.399, 54.432, 1.258
2.000, 58.244, 1.155, 58.420, 1.170
3.000, 63.432, 1.011, 62.700, 1.063
4.000, 67.256, 0.907, 67.560, 0.903
5.000, 71.112, 0.810, 67.308, 0.919
6.000, 73.916, 0.729, 67.756, 0.912
7.000, 76.244, 0.672, 73.120, 0.778
8.000, 77.780, 0.624, 73.920, 0.738
9.000, 79.932, 0.576, 75.256, 0.708
10.000, 80.988, 0.536, 77.396, 0.648
11.000, 82.260, 0.506, 78.036, 0.641
12.000, 83.536, 0.470, 78.684, 0.622
13.000, 84.344, 0.445, 79.376, 0.601
14.000, 85.112, 0.422, 80.396, 0.574
15.000, 86.408, 0.391, 80.488, 0.571
16.000, 87.756, 0.353, 78.700, 0.636
17.000, 87.988, 0.341, 80.968, 0.573
18.000, 88.984, 0.320, 81.668, 0.562
19.000, 89.604, 0.302, 81.732, 0.555
20.000, 90.192, 0.282, 81.904, 0.539
21.000, 90.604, 0.265, 82.416, 0.544
22.000, 91.344, 0.244, 83.232, 0.519
23.000, 91.928, 0.231, 81.780, 0.562
24.000, 91.948, 0.227, 83.044, 0.529
25.000, 93.020, 0.205, 83.636, 0.499
26.000, 92.796, 0.204, 83.156, 0.539
27.000, 93.708, 0.182, 84.260, 0.490
28.000, 94.248, 0.168, 84.912, 0.475
29.000, 94.452, 0.163, 82.380, 0.597
30.000, 94.796, 0.152, 84.292, 0.511
31.000, 95.248, 0.137, 83.804, 0.534
32.000, 95.332, 0.134, 84.508, 0.528
33.000, 95.956, 0.121, 85.376, 0.499
34.000, 95.924, 0.122, 84.552, 0.533
35.000, 96.284, 0.110, 85.432, 0.496
36.000, 96.048, 0.113, 83.432, 0.592
37.000, 96.648, 0.102, 84.792, 0.538
38.000, 96.700, 0.100, 84.800, 0.536
39.000, 96.972, 0.091, 84.592, 0.541
40.000, 97.088, 0.087, 85.972, 0.496
41.000, 97.460, 0.076, 86.248, 0.496
42.000, 97.540, 0.076, 84.648, 0.564
43.000, 97.556, 0.072, 86.248, 0.493
44.000, 97.724, 0.070, 85.612, 0.531
45.000, 97.952, 0.061, 86.088, 0.499
46.000, 98.096, 0.059, 84.776, 0.565
47.000, 98.308, 0.057, 85.796, 0.544
48.000, 98.276, 0.051, 85.892, 0.531
49.000, 98.408, 0.048, 85.732, 0.536
50.000, 98.612, 0.045, 86.480, 0.524
51.000, 98.640, 0.044, 86.204, 0.530
52.000, 98.592, 0.044, 86.076, 0.532
53.000, 98.748, 0.041, 85.880, 0.557
54.000, 98.868, 0.037, 86.120, 0.533
55.000, 99.016, 0.032, 86.124, 0.548
56.000, 98.864, 0.034, 86.284, 0.545
57.000, 99.144, 0.030, 86.248, 0.552
58.000, 99.108, 0.030, 86.768, 0.536
59.000, 99.200, 0.028, 86.320, 0.573
60.000, 99.124, 0.028, 86.692, 0.542
61.000, 99.244, 0.025, 87.180, 0.529
62.000, 99.312, 0.024, 87.140, 0.527
