architecture id: 11608
model parameters: 20869860
epoch, train_acc, train_loss, val_acc, val_loss
0.000, 25.472, 1.996, 37.888, 1.671
1.000, 45.716, 1.468, 49.688, 1.367
2.000, 54.512, 1.243, 56.896, 1.209
3.000, 60.496, 1.090, 61.300, 1.080
4.000, 64.876, 0.977, 64.224, 0.989
5.000, 68.336, 0.889, 65.592, 0.972
6.000, 71.292, 0.808, 68.684, 0.892
7.000, 73.316, 0.749, 69.140, 0.877
8.000, 75.508, 0.694, 71.788, 0.799
9.000, 77.104, 0.653, 72.400, 0.800
10.000, 78.956, 0.597, 74.720, 0.735
11.000, 80.560, 0.553, 76.632, 0.670
12.000, 81.948, 0.514, 75.460, 0.724
13.000, 83.312, 0.483, 76.928, 0.665
14.000, 84.044, 0.455, 78.656, 0.633
15.000, 85.312, 0.423, 79.724, 0.593
16.000, 86.280, 0.392, 78.600, 0.629
17.000, 87.096, 0.376, 78.812, 0.637
18.000, 87.728, 0.347, 81.876, 0.536
19.000, 88.988, 0.323, 81.492, 0.552
20.000, 89.744, 0.299, 81.596, 0.549
21.000, 89.948, 0.283, 78.828, 0.666
22.000, 90.784, 0.266, 81.536, 0.572
23.000, 91.232, 0.256, 82.780, 0.526
24.000, 91.736, 0.236, 82.840, 0.530
25.000, 92.312, 0.221, 81.684, 0.584
26.000, 92.924, 0.202, 83.388, 0.516
27.000, 93.592, 0.183, 83.320, 0.531
28.000, 94.044, 0.175, 83.988, 0.508
29.000, 94.832, 0.156, 83.904, 0.518
30.000, 94.884, 0.152, 83.700, 0.527
31.000, 94.804, 0.146, 83.848, 0.528
32.000, 95.276, 0.138, 83.000, 0.585
33.000, 96.000, 0.123, 84.140, 0.533
34.000, 96.152, 0.115, 84.324, 0.539
35.000, 96.660, 0.101, 81.336, 0.666
36.000, 96.500, 0.101, 84.172, 0.563
37.000, 96.952, 0.092, 84.932, 0.531
38.000, 97.384, 0.080, 85.012, 0.537
39.000, 97.608, 0.076, 84.808, 0.541
40.000, 97.604, 0.073, 84.932, 0.543
41.000, 98.080, 0.062, 85.560, 0.520
42.000, 98.028, 0.061, 85.604, 0.527
43.000, 98.312, 0.055, 85.360, 0.540
44.000, 98.332, 0.054, 85.988, 0.529
45.000, 98.568, 0.046, 85.072, 0.574
46.000, 98.800, 0.040, 86.064, 0.528
47.000, 98.860, 0.038, 86.004, 0.535
48.000, 98.632, 0.043, 85.928, 0.553
49.000, 99.072, 0.033, 85.988, 0.558
50.000, 98.920, 0.035, 86.120, 0.551
51.000, 99.176, 0.029, 85.848, 0.568
52.000, 99.312, 0.025, 86.608, 0.542
53.000, 99.296, 0.024, 86.436, 0.566
54.000, 99.448, 0.020, 86.504, 0.550
55.000, 99.392, 0.022, 86.124, 0.576
56.000, 99.488, 0.018, 86.380, 0.555
57.000, 99.576, 0.017, 86.532, 0.561
58.000, 99.584, 0.016, 86.728, 0.553
59.000, 99.664, 0.014, 86.968, 0.540
60.000, 99.672, 0.014, 86.804, 0.554
61.000, 99.764, 0.012, 86.836, 0.563
62.000, 99.772, 0.011, 87.024, 0.547
63.000, 99.776, 0.011, 86.876, 0.566
64.000, 99.680, 0.012, 87.108, 0.556
65.000, 99.780, 0.010, 87.196, 0.557
66.000, 99.724, 0.011, 86.908, 0.566
67.000, 99.760, 0.010, 87.208, 0.550
68.000, 99.836, 0.008, 87.328, 0.561
69.000, 99.832, 0.008, 87.244, 0.564
70.000, 99.864, 0.007, 87.196, 0.555
71.000, 99.864, 0.007, 87.276, 0.560
72.000, 99.904, 0.007, 87.368, 0.564
73.000, 99.832, 0.008, 87.196, 0.557
74.000, 99.884, 0.006, 87.372, 0.558
75.000, 99.892, 0.006, 87.416, 0.564
76.000, 99.904, 0.006, 87.216, 0.564
77.000, 99.880, 0.006, 87.280, 0.558
78.000, 99.916, 0.005, 87.296, 0.556
79.000, 99.880, 0.006, 87.264, 0.570
80.000, 99.928, 0.005, 87.564, 0.557
81.000, 99.920, 0.005, 87.168, 0.567
82.000, 99.916, 0.005, 87.440, 0.561
83.000, 99.900, 0.005, 87.452, 0.566
84.000, 99.908, 0.005, 87.220, 0.558
85.000, 99.928, 0.005, 87.668, 0.551
86.000, 99.916, 0.005, 87.460, 0.557
87.000, 99.936, 0.005, 87.484, 0.556
88.000, 99.952, 0.004, 87.660, 0.560
89.000, 99.948, 0.005, 87.592, 0.545
90.000, 99.932, 0.005, 87.524, 0.558
91.000, 99.944, 0.004, 87.464, 0.557
92.000, 99.944, 0.004, 87.484, 0.553
93.000, 99.932, 0.005, 87.452, 0.563
94.000, 99.920, 0.005, 87.416, 0.551
95.000, 99.968, 0.004, 87.572, 0.554
96.000, 99.936, 0.005, 87.328, 0.555
97.000, 99.956, 0.004, 87.612, 0.562
98.000, 99.920, 0.004, 87.640, 0.553
99.000, 99.968, 0.004, 87.724, 0.557
test accuracy: 87.960
firing rate of layers: 0.081, -1.000, 0.156, 0.034, 0.043, 0.151, 0.065, -1.000, 0.142, 0.022, 0.046, 0.117, 0.083, 0.099, 0.209, 0.088
Elapsed time: 2.0hour38.0minute32.2second
