architecture id: 12941
model parameters: 74457960
epoch, train_acc,train_top5, train_loss, val_acc, val_top5, val_loss
0.000, 8.522, 24.143, 4.424, 14.320, 36.470, 3.918
1.000, 20.434, 45.503, 3.542, 20.630, 45.720, 3.544
2.000, 27.555, 54.954, 3.133, 28.210, 55.250, 3.108
3.000, 33.025, 61.254, 2.833, 31.260, 57.870, 2.968
4.000, 37.744, 65.717, 2.597, 34.250, 61.810, 2.792
5.000, 41.773, 69.459, 2.396, 36.360, 64.270, 2.683
6.000, 45.593, 73.158, 2.211, 37.670, 65.690, 2.638
7.000, 49.028, 76.273, 2.044, 39.450, 66.420, 2.571
8.000, 52.391, 79.051, 1.884, 41.030, 68.370, 2.486
9.000, 55.666, 81.410, 1.746, 41.980, 68.980, 2.461
10.000, 58.736, 83.615, 1.609, 42.780, 69.650, 2.465
11.000, 61.545, 85.573, 1.482, 43.780, 70.130, 2.417
12.000, 64.465, 87.543, 1.360, 43.460, 70.570, 2.435
13.000, 67.280, 89.334, 1.244, 44.330, 70.680, 2.434
14.000, 70.149, 90.785, 1.135, 44.110, 70.330, 2.467
15.000, 72.477, 92.258, 1.037, 45.070, 70.650, 2.448
16.000, 75.063, 93.389, 0.945, 44.670, 69.560, 2.511
17.000, 77.196, 94.407, 0.859, 45.600, 71.210, 2.477
18.000, 79.320, 95.306, 0.783, 45.500, 71.140, 2.486
19.000, 81.214, 96.092, 0.711, 46.100, 71.160, 2.499
20.000, 82.929, 96.667, 0.647, 45.660, 71.020, 2.488
21.000, 84.675, 97.211, 0.588, 46.160, 71.000, 2.524
22.000, 86.211, 97.639, 0.536, 46.400, 71.610, 2.514
23.000, 87.438, 97.981, 0.490, 46.310, 71.330, 2.542
24.000, 88.696, 98.333, 0.444, 46.700, 71.540, 2.548
25.000, 89.760, 98.650, 0.405, 46.200, 71.310, 2.580
26.000, 90.647, 98.791, 0.375, 46.470, 71.600, 2.598
27.000, 91.277, 98.983, 0.349, 46.420, 71.480, 2.577
28.000, 92.207, 99.127, 0.319, 46.690, 71.690, 2.604
29.000, 92.925, 99.298, 0.293, 46.560, 71.480, 2.637
30.000, 93.316, 99.356, 0.278, 47.160, 71.530, 2.597
31.000, 94.028, 99.439, 0.252, 46.950, 71.260, 2.641
32.000, 94.514, 99.529, 0.233, 47.060, 71.680, 2.623
33.000, 94.902, 99.544, 0.221, 46.500, 71.500, 2.681
34.000, 95.282, 99.630, 0.205, 47.370, 72.010, 2.663
35.000, 95.582, 99.654, 0.196, 47.840, 71.520, 2.666
36.000, 95.960, 99.730, 0.182, 47.720, 71.810, 2.659
37.000, 96.352, 99.770, 0.167, 47.470, 71.960, 2.659
38.000, 96.579, 99.805, 0.157, 47.330, 71.940, 2.679
39.000, 96.753, 99.784, 0.152, 48.000, 71.970, 2.682
40.000, 96.975, 99.816, 0.142, 47.900, 72.420, 2.679
41.000, 97.177, 99.843, 0.134, 47.170, 72.410, 2.699
42.000, 97.434, 99.834, 0.126, 48.100, 72.540, 2.675
43.000, 97.618, 99.868, 0.120, 47.950, 72.270, 2.706
44.000, 97.665, 99.896, 0.115, 48.070, 72.170, 2.700
45.000, 97.908, 99.896, 0.108, 48.260, 72.570, 2.694
46.000, 97.945, 99.892, 0.104, 48.330, 72.690, 2.705
47.000, 98.060, 99.905, 0.100, 48.250, 72.270, 2.720
48.000, 98.177, 99.913, 0.094, 48.160, 72.750, 2.723
49.000, 98.300, 99.921, 0.091, 48.200, 72.350, 2.717
